LINEAGE	WHO_LABEL	CONTRIBUTING_LINEAGES	COLOR	variant_category
BA.2	Omikron	BA.2.63	#F1CE61	VOC
BA.2	Omikron	BA.2.64	#F1CE61	VOC
BA.2	Omikron	BA.2.65	#F1CE61	VOC
BA.2	Omikron	BA.2.66	#F1CE61	VOC
BA.2	Omikron	BA.2.67	#F1CE61	VOC
BA.2	Omikron	BA.2.68	#F1CE61	VOC
BA.2	Omikron	BA.2.69	#F1CE61	VOC
BA.2	Omikron	BA.2.7	#F1CE61	VOC
BA.2	Omikron	BA.2.70	#F1CE61	VOC
BA.2	Omikron	BA.2.71	#F1CE61	VOC
BA.2	Omikron	BA.2.72	#F1CE61	VOC
BA.2	Omikron	BA.2.73	#F1CE61	VOC
BA.2	Omikron	BA.2.74	#F1CE61	VOC
BA.2	Omikron	BA.2.75	#F1CE61	VOC
BA.2	Omikron	BA.2.75.1	#F1CE61	VOC
BA.2	Omikron	BA.2.75.10	#F1CE61	VOC
BA.2	Omikron	BA.2.75.2	#F1CE61	VOC
BA.2	Omikron	BA.2.75.3	#F1CE61	VOC
BA.2	Omikron	BA.2.75.4	#F1CE61	VOC
BA.2	Omikron	BA.2.75.5	#F1CE61	VOC
BA.2	Omikron	BA.2.75.6	#F1CE61	VOC
BA.2	Omikron	BA.2.75.7	#F1CE61	VOC
BA.2	Omikron	BA.2.75.8	#F1CE61	VOC
BA.2	Omikron	BA.2.75.9	#F1CE61	VOC
BA.2	Omikron	BA.2.76	#F1CE61	VOC
BA.2	Omikron	BA.2.76.1	#F1CE61	VOC
BA.2	Omikron	BA.2.76.2	#F1CE61	VOC
BA.2	Omikron	BA.2.77	#F1CE61	VOC
BA.2	Omikron	BA.2.78	#F1CE61	VOC
BA.2	Omikron	BA.2.79	#F1CE61	VOC
BA.2	Omikron	BA.2.79.1	#F1CE61	VOC
BA.2	Omikron	BA.2.8	#F1CE61	VOC
BA.2	Omikron	BA.2.80	#F1CE61	VOC
BA.2	Omikron	BA.2.81	#F1CE61	VOC
BA.2	Omikron	BA.2.82	#F1CE61	VOC
